MODELO,MARCA,TIPOCOMPRA,ANIOS,KILOMETRAJE,CIUDAD,TIPOPRECIO,PRECIO
Volkswagen,Passat,GOLD,2013,60000,Quito,Negociable,18800
Kia,NIRO HYBRIDO,GOLD,2017,65000,Quito,Fijo,19900
Mercedes Benz,C180 CGI,STANDAR,2012,84000,Guayaquil,Negociable,35000
Nissan,Xtrail Classic,STANDAR,2009,145000,Quito,Negociable,12900
Ford,Edge,GOLD,2016,37000,Quito,Negociable,36500
Chevrolet,Sail,GOLD,2017,83,Guayaquil,Negociable,12500
Mercedes Benz,C300,STANDAR,2011,90000,Quito,Negociable,41900
Nissan,Versa,GOLD,2014,132903,Guayaquil,Negociable,12500
Nissan,Versa,GOLD,2014,65526,Guayaquil,Negociable,13900
Chevrolet,Spark GT,GOLD,2019,3500,Quito,Negociable,12900
Chevrolet,Sail,GOLD,2016,200000,Quito,Negociable,11400
JAC,T6,GOLD,2016,52000,Quito,Negociable,19900
Toyota,RAV 4,GOLD,2020,3600,Quito,Negociable,39900
BYD,S6,GOLD,2017,62674,Guayaquil,Negociable,18900
Renault,Duster 2.0,GOLD,2017,52913,Guayaquil,Negociable,16800
Nissan,Qashqai,GOLD,2018,51000,Quito,Negociable,27400
Zotye,Z100,GOLD,2016,20000,Quito,Negociable,7900
Chrysler,Grand Cherokee Limited,GOLD,2005,197000,Quito,Negociable,15900
Nissan,X-Trail,GOLD,2007,100000,Guayaquil,Negociable,9700
Mercedes Benz,GLK350,GOLD,2009,102000,Guayaquil,Negociable,38500
Kia,Optima,GOLD,2014,50000,Guayaquil,Negociable,17800
Great Wall,H3,GOLD,2013,134000,Guayaquil,Negociable,13700
Honda,CR-V,GOLD,2005,100000,Guayaquil,Negociable,10400
Zotye,Z500,GOLD,2016,100000,Guayaquil,Negociable,12200
Nissan,Sentra,GOLD,2012,76000,Guayaquil,Negociable,9300
Toyota,Fortuner 2.7,GOLD,2020,13000,Quito,Negociable,49500
Chevrolet,Spark GT,GOLD,2011,95000,Quito,Negociable,8900
Chevrolet,Spark,GOLD,2011,95000,Quito,Negociable,8900
Nissan,Xtrail Advance,GOLD,2017,76620,Quito,Negociable,28900
Nissan,X-Trail,GOLD,2017,76620,Quito,Fijo,28900
Hyundai,H1,GOLD,2014,42000,Quito,Negociable,30500
Toyota,FJ Cruiser,GOLD,2013,105000,Quito,Negociable,48900
Chevrolet,Grand Vitara SZ 2.4,TOP,2013,69000,Quito,Negociable,14600
Chevrolet,Aveo Activo,GOLD,2007,175000,Ambato,Negociable,8500
Chevrolet,Orlando,GOLD,2014,40000,Quito,Negociable,16900
DongFeng,AX4,GOLD,2020,5000,Quito,Fijo,16900
Ford,Explorer 5P,GOLD,2018,42000,Quito,Negociable,53900
Toyota,Highlander Hibrido,STANDAR,2010,200000,Guayaquil,Negociable,16500
Toyota,4 Runner Limited,GOLD,2007,168000,Quito,Negociable,28900
Mitsubishi,ASX,GOLD,2013,82000,Quito,Negociable,19900
Toyota,Land Cruiser,GOLD,2003,255000,Quito,Negociable,22500
Chevrolet,Sail,STANDAR,2014,100000,Quito,Negociable,9200
Chevrolet,Trailblazer,TOP,2018,35000,Guayaquil,Negociable,39900
Ford,Explorer,GOLD,2011,161000,Quito,Negociable,16800
Mercedes Benz,C200,GOLD,2020,250,Quito,Negociable,65500
Chevrolet,Sail,GOLD,2018,46000,Quito,Negociable,13400
Nissan,Kicks,GOLD,2019,2600,Guayaquil,Negociable,22900
Mitsubishi,Montero 3P,STANDAR,2005,241000,Quito,Negociable,13800
Volkswagen,Golf GTI,GOLD,2013,48200,Quito,Negociable,45500
Chevrolet,Aveo Family,STANDAR,2018,45000,Quito,Negociable,11900
Kia,Rio R,GOLD,2019,2500,Quito,Negociable,16800
Mazda,6 GT,GOLD,2012,108000,Quito,Negociable,15900
Audi,A4 1.8T,GOLD,2007,115200,Guayaquil,Negociable,18500
Great Wall,H5 Elite,GOLD,2013,172000,Quito,Fijo,12990
Chevrolet,Trailblazer,GOLD,2017,40000,Quito,Negociable,37900
Chevrolet,TrailBlazer SS,GOLD,2006,203000,Quito,Negociable,10900
Ford,Escape Hibrido,GOLD,2011,113000,Quito,Negociable,14900
Dodge,Durango,GOLD,2015,60808,Quito,Fijo,43900
Toyota,Prius Hybrido,GOLD,2010,183000,Quito,Negociable,12900
Mini,Cooper,GOLD,2002,94879,Quito,Negociable,20500
Chevrolet,GRAND VITARA SZ NEXT 2.4 4X2,GOLD,2018,35718,Cuenca,Negociable,19800
Chevrolet,N200,GOLD,2011,177000,Cuenca,Negociable,8800
Kia,Sorento,GOLD,2010,190112,Quito,Fijo,18900
Toyota,Fortuner 2.7,GOLD,2013,158000,Quito,Negociable,27500
Volkswagen,Amarok TDI,GOLD,2017,52586,Cuenca,Negociable,27500
Chevrolet,Trailblazer,TOP,2018,27500,Quito,Negociable,43500
Hyundai,Creta,GOLD,2018,1,Cuenca,Fijo,24900
Renault,Duster 2.0,GOLD,2015,111000,Quito,Negociable,13900
Hyundai,GRAN I10,GOLD,2018,1,Cuenca,Negociable,13300
Mazda,CX7,GOLD,2007,150000,Quito,Negociable,14000
Great Wall,Haval M4,GOLD,2019,10300,Quito,Fijo,15500
Chevrolet,LUV Dmax CD Diesel,STANDAR,2009,162000,Cañar,Negociable,20400
Toyota,Hilux CD 4x2,GOLD,2016,99540,Cuenca,Negociable,28990
Chevrolet,Captiva Sport,GOLD,2014,156500,Guayaquil,Negociable,16690
Chevrolet,Grand Vitara 5P,GOLD,2011,112000,Cuenca,Fijo,12500
Hyundai,Santa Fe 4x2,GOLD,2009,190000,Quito,Negociable,14500
Nissan,Xtrail Advance,GOLD,2015,85000,Quito,Negociable,26500
Chevrolet,Trailblazer,GOLD,2003,1,Quito,Fijo,7900
Hyundai,H1,GOLD,2011,180000,Quito,Negociable,22500
Hyundai,Picanto R,STANDAR,2016,80000,Cañar,Negociable,10600
Chevrolet,Captiva Sport,GOLD,2016,62935,Quito,Fijo,17900
Chevrolet,D-MAX,GOLD,2008,377000,Quito,Negociable,10900
Toyota,Land Cruiser Prado TX,GOLD,2015,66000,Quito,Negociable,75000
Chevrolet,N300 MAX CARGO 1.2L TM AC,GOLD,2013,94000,Quito,Negociable,9900
Ford,Escape,GOLD,2008,179000,Quito,Negociable,12900
BMW,X3 3.0SI,GOLD,2007,70000,Quito,Negociable,20900
Skoda,Fabia A5,GOLD,2010,128000,Quito,Negociable,9900
Nissan,Sentra Advance MT,GOLD,2015,76000,Quito,Negociable,17900
Toyota,Yaris Nitro,GOLD,2010,171000,Quito,Negociable,11500
Honda,CR-V,GOLD,2008,82000,Quito,Negociable,18500
Toyota,Land Cruiser 4500 EFI,GOLD,2004,253000,Quito,Negociable,19900
Toyota,Fortuner 2.7,GOLD,2019,34000,Quito,Negociable,46500
Ford,Edge Limited,GOLD,2010,113000,Quito,Negociable,23500
Nissan,Sentra Advance MT,GOLD,2015,41000,Quito,Negociable,17900
Fiat,Panda Lounge Evo 2,GOLD,2019,85,Quito,Negociable,14700
Mini,CooperS,GOLD,2002,94879,Quito,Negociable,20500
Mazda,CX-9,GOLD,2015,61249,Quito,Negociable,36800
Ssangyong,Rexton,GOLD,2006,292181,Quito,Fijo,11900
Chevrolet,Sail,GOLD,2013,92000,Quito,Negociable,9900
Kia,Sportage,GOLD,2016,99000,Quito,Negociable,17900
Kia,Carens R,GOLD,2014,160215,Quito,Negociable,14300
Toyota,Land Cruiser 4500 EFI,GOLD,1997,342000,Quito,Negociable,12900
Volkswagen,Polo,GOLD,2004,219943,Quito,Fijo,9900
Chevrolet,Blazer,GOLD,1998,306668,Quito,Fijo,7900
Toyota,4 Runner,GOLD,2017,19055,Quito,Negociable,77800
Ford,Explorer,STANDAR,2007,173100,Guayaquil,Negociable,12000
Chevrolet,Grand Vitara 5P,GOLD,2006,200000,Quito,Negociable,10900
Ford,Explorer XLT,GOLD,2012,77000,Quito,Negociable,26900
Kia,Rio R,GOLD,2014,119648,Quito,Negociable,12200
Chevrolet,Grand Vitara 5P,GOLD,2016,98000,Quito,Negociable,16900
Hyundai,Ioniq Hybrid,GOLD,2017,71000,Quito,Fijo,15900
Great Wall,Wingle 5 AC CD 4X2,GOLD,2018,53709,Quito,Negociable,17800
Chevrolet,Spark Life,GOLD,2017,50100,Guayaquil,Negociable,9800
Chevrolet,Aveo Family,GOLD,2019,65000,Ambato,Negociable,12800
Chevrolet,Spark Life,STANDAR,2017,77000,Quito,Fijo,8500
Toyota,Yaris,GOLD,2018,47000,Quito,Fijo,15900
Chevrolet,Aveo Emotion,GOLD,2009,170000,Cuenca,Negociable,9900
Great Wall,Voleex C30,GOLD,2019,9000,Quito,Fijo,12500
Nissan,Sentra,GOLD,2009,219000,Quito,Negociable,8600
Mazda,CX-3,GOLD,2019,35000,Quito,Negociable,23800
Chevrolet,Aveo Emotion,GOLD,2011,160000,Quito,Negociable,11500
Chevrolet,N300 MAX CARGO 1.2L TM AC,GOLD,2018,62000,Quito,Negociable,14600
Nissan,Versa,GOLD,2019,17000,Quito,Negociable,17900
Hyundai,Santa Fe 4x2,GOLD,2015,100000,Quito,Negociable,24900
Hyundai,Tucson IX,GOLD,2014,99000,Quito,Negociable,18900
BMW,320i,GOLD,2009,144000,Quito,Negociable,22900
Chevrolet,Captiva,GOLD,2010,1380000,Quito,Negociable,12900
Volkswagen,Gol Power,GOLD,2012,130000,Quito,Negociable,12900
Ford,Explorer 5P,STANDAR,2013,164000,Guayaquil,Negociable,25000
Volkswagen,Tiguan,GOLD,2020,5000,Quito,Negociable,38800
Ford,Explorer XLT,GOLD,2011,106000,Quito,Negociable,23800
Citroen,C4 Picasso,GOLD,2009,176800,Guayaquil,Negociable,14500
Audi,A6,GOLD,2005,121000,Guayaquil,Negociable,15500
Nissan,X-Trail,GOLD,2002,176000,Quito,Negociable,13500
Citroen,C4 VTR,GOLD,2007,226000,Quito,Fijo,9990
Ford,Escape S Plus,GOLD,2017,38786,Quito,Negociable,26800
Toyota,Land Cruiser 4500 EFI,GOLD,2004,230000,Quito,Negociable,16500
Ford,Escape,GOLD,2009,88000,Quito,Negociable,15800
Peugeot,206 XS,GOLD,2003,248000,Quito,Negociable,7600
Renault,Sandero Dynamic,GOLD,2010,129000,Quito,Negociable,8000
Suzuki,Grand Vitara SZ 2.4,GOLD,2012,175000,Quito,Negociable,13800
Ford,Explorer XLT,GOLD,2012,101000,Quito,Negociable,29500
Kia,Sorento,GOLD,2006,147000,Quito,Negociable,13900
Hyundai,Elantra,GOLD,2012,135000,Quito,Negociable,15300
Great Wall,Haval H5,GOLD,2015,59000,Quito,Negociable,17500
Mercedes Benz,C240,GOLD,2001,170000,Quito,Negociable,12900
Mazda,CX-5,GOLD,2013,82000,Quito,Negociable,23500
Toyota,Camry Hibrido,GOLD,2009,85000,Quito,Negociable,13800
Mercedes Benz,E350,GOLD,2005,78000,Quito,Negociable,20900
Volvo,S80,GOLD,2009,94000,Quito,Negociable,26800
Hyundai,Tucson IX,GOLD,2014,70000,Quito,Negociable,20900
BMW,X3 2.5SI,GOLD,2009,119000,Quito,Negociable,23900
Chevrolet,Captiva Sport,GOLD,2013,79000,Quito,Negociable,17900
BMW,320i,GOLD,2007,138000,Quito,Negociable,26500
Toyota,Hilux SR5,GOLD,2015,890000,Quito,Negociable,28900
Ford,F-150 FX4,GOLD,2013,102000,Quito,Negociable,35900
Kia,Picanto R,STANDAR,2020,27586,Quito,Negociable,11800
Kia,Picanto R,STANDAR,2018,42368,Quito,Negociable,11800
Volkswagen,Golf,GOLD,2005,240000,Quito,Negociable,8000
Mazda,3,GOLD,2009,125000,Quito,Negociable,10200
Mercedes Benz,ML350,GOLD,2006,190000,Cuenca,Negociable,29900
Chevrolet,Aveo Family,GOLD,2014,81000,Quito,Negociable,9400
Hyundai,Accent,GOLD,2014,127000,Quito,Negociable,14300
Kia,Picanto R,GOLD,2018,53959,Quito,Negociable,12200
Suzuki,SZ Next Sport,GOLD,2017,76947,Quito,Fijo,18000
Nissan,TIIDA ENTRY,GOLD,2012,161618,Quito,Fijo,12900
Chevrolet,Grand Vitara 5P,GOLD,2009,189504,Quito,Fijo,12900
Chevrolet,D-MAX,GOLD,2018,95000,Quito,Negociable,33900
Hyundai,i10,GOLD,2012,160000,Quito,Negociable,8500
Volkswagen,Gol,GOLD,2006,270000,Quito,Negociable,7500
Kia,Sorento,GOLD,2004,178000,Quito,Negociable,10900
Nissan,Juke,GOLD,2013,50000,Quito,Negociable,16900
Hyundai,Grand I10 HB,GOLD,2018,23000,Quito,Negociable,13400
Kia,Rio,GOLD,2009,195000,Quito,Negociable,9300
Hyundai,H100,GOLD,2002,408199,Quito,Fijo,7900
Chevrolet,Aveo Emotion,GOLD,2017,147000,Quito,Negociable,12900
Ford,Explorer XLT,GOLD,2013,102000,Quito,Negociable,27900
Volkswagen,Gol Power,GOLD,2009,147587,Quito,Fijo,9900
Chevrolet,Beat,GOLD,2019,23000,Quito,Negociable,12900
Great Wall,Haval M4,GOLD,2019,27000,Quito,Negociable,13900
Renault,Logan,GOLD,2019,35000,Quito,Negociable,12900
Chevrolet,Aveo Emotion GLS,GOLD,2015,84000,Quito,Negociable,13200
Chevrolet,Sail,GOLD,2015,63000,Cuenca,Negociable,11800
BMW,325i Cabriolet,STANDAR,2011,50000,Quito,Negociable,43900
Toyota,Corolla 1.8,GOLD,2005,167000,Quito,Negociable,8800
Audi,A6,GOLD,2002,156000,Quito,Negociable,11900
BMW,320i,STANDAR,2018,21699,Quito,Negociable,42900
Toyota,Fortuner 2.7,GOLD,2015,37000,Quito,Negociable,33900
Chevrolet,Vitara 5P,GOLD,1997,259000,Cuenca,Negociable,7800
Nissan,Pathfinder,GOLD,2003,300000,Quito,Negociable,9900
Great Wall,Haval H6,TOP,2018,25107,Pifo,Negociable,20500
Chevrolet,D-MAX CRDI  3.0 CD 4X2  DIESEL,GOLD,2017,82000,Otavalo,Negociable,22500
Volkswagen,Escarabajo,STANDAR,1965,6,Quito,Negociable,11800
Volvo,V70 SW,GOLD,2002,198400,Guayaquil,Negociable,15500
Kia,Cerato,STANDAR,2018,69000,Quito,Negociable,17900
Toyota,RAV 4,STANDAR,2008,253000,Quito,Negociable,13900
Ford,Explorer XLT,GOLD,2005,196000,Quito,Negociable,9900
Toyota,Prius C Sport,GOLD,2020,12900,Cuenca,Negociable,22900
Renault,Logan Dynamique,GOLD,2009,155280,Quito,Fijo,7900
Toyota,Prado 3P,GOLD,2008,285794,Quito,Negociable,17700
Chevrolet,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,GOLD,2011,200000,Cuenca,Fijo,18400
Nissan,X Trail Sense,GOLD,2015,117000,Quito,Fijo,22500
Nissan,X Trail Sense,GOLD,2015,121000,Quito,Negociable,22900
Volkswagen,Polo,GOLD,2005,166000,Quito,Negociable,7900
Skoda,Octavia A5,STANDAR,2011,155856,Quito,Negociable,14300
Renault,Duster 1.6,STANDAR,2015,129356,Quito,Negociable,13300
Nissan,1200,GOLD,1990,49000,Quito,Negociable,8900
Kia,Sorento,GOLD,2017,36000,Quito,Negociable,35900
Great Wall,H5,TOP,2016,27588,Pifo,Fijo,18999
Zotye,T600,GOLD,2017,40810,Quito,Fijo,17990
Great Wall,H6,GOLD,2018,90500,Quito,Fijo,17490
Great Wall,H5 TURBO 4X2 AC,GOLD,2015,99974,Quito,Fijo,15990
Great Wall,M4,GOLD,2018,26700,Quito,Fijo,14490
Suzuki,Grand Vitara SZ 2.4,GOLD,2011,94298,Quito,Fijo,14800
Honda,CR-V,STANDAR,2008,205135,Quito,Negociable,14500
Fiat,Uno Fire,STANDAR,2013,79000,Quito,Negociable,8500
Renault,Duster 2.0,GOLD,2013,88000,Quito,Negociable,13700
Suzuki,Grand Vitara SZ,GOLD,2016,96000,Quito,Negociable,15900
Honda,Pilot,GOLD,2016,59000,Quito,Negociable,37800
Toyota,Yaris,STANDAR,2019,31300,Cuenca,Negociable,18500
Kia,Sportage Active,GOLD,2017,28150,Guayaquil,Negociable,18900
Volkswagen,New Beetle,GOLD,2017,31000,Quito,Negociable,28500
Chevrolet,Beat,GOLD,2019,22000,Quito,Negociable,12900
Chevrolet,Aveo Family,GOLD,2010,185000,Quito,Negociable,8500
Kia,Rio R,GOLD,2017,60000,Quito,Negociable,14500
Ford,Ecosport Titanium,GOLD,2014,73000,Quito,Negociable,15400
Nissan,X-Trail,GOLD,2007,210000,Quito,Negociable,11900
Ford,Escape,GOLD,2018,20000,Quito,Negociable,27900
Chery,Practivan,GOLD,2019,41000,Quito,Negociable,10900
Kia,Picanto,GOLD,2018,39000,Quito,Negociable,11900
Ford,Explorer XLT,GOLD,2009,160000,Quito,Negociable,16900
Chevrolet,LUV D-MAX TM 2.4 4X2,GOLD,2013,105000,Cuenca,Negociable,17800
Hyundai,Tucson IX,GOLD,2012,105000,Cuenca,Negociable,19800
Hyundai,Tucson,GOLD,2009,150000,Cuenca,Negociable,14800
Zotye,T600,GOLD,2019,22124,Quito,Fijo,17490
Peugeot,206,GOLD,2007,152085,Quito,Negociable,7900
Citroen,C-ELYSEE,GOLD,2019,33335,Guayaquil,Negociable,14800
Renault,Sandero,GOLD,2015,97602,Quito,Fijo,11900
Kia,Rio LX AC,GOLD,2019,45000,Quito,Negociable,15900
Nissan,Xtrail Classic,GOLD,2011,174000,Quito,Negociable,12500
Ford,Explorer XLT,TOP,2014,75000,Quito,Negociable,31000
Toyota,NEW RAV4 AC 2.0 5P,STANDAR,2017,116000,Quito,Negociable,28500
Renault,Logan Familier,GOLD,2014,110000,Cuenca,Negociable,8900
Mazda,BT-50 4x4 Diesel,GOLD,2017,103788,Quito,Fijo,23900
Chevrolet,Aveo Family,STANDAR,2013,224000,Quito,Negociable,9200
Chevrolet,LUV CD,GOLD,1997,200000,Cuenca,Negociable,9200
Mitsubishi,Montero Sport,STANDAR,2007,130000,Quito,Negociable,15900
Toyota,Land Cruiser,GOLD,1991,442000,Quito,Negociable,6900
Volkswagen,Gol,STANDAR,2011,144000,Quito,Fijo,10000
Ford,Edge,GOLD,2016,64000,Quito,Negociable,33500
Toyota,Land Cruiser,GOLD,1995,178000,Quito,Negociable,15900
Volvo,XC90,GOLD,2006,94000,Quito,Negociable,19900
Volkswagen,Touareg,GOLD,2009,160000,Quito,Fijo,28900
Chevrolet,Swift,GOLD,1993,145000,Quito,Negociable,5900
Suzuki,S Cross,GOLD,2019,20000,Quito,Negociable,18900
Ford,Edge,GOLD,2016,36000,Quito,Negociable,34900
Mazda,CX-5,GOLD,2015,90000,Quito,Negociable,22900
Chevrolet,D-MAX CRDI  3.0 CD 4X2  DIESEL,GOLD,2018,148000,Quito,Negociable,20900
Hyundai,Tucson IX,GOLD,2015,86000,Otavalo,Negociable,20000
Chevrolet,Sail,GOLD,2012,117000,Quito,Negociable,8900
Hyundai,Tucson IX,STANDAR,2013,90000,Cuenca,Negociable,18500
Hyundai,Sonata Hybrid,GOLD,2016,102000,Quito,Negociable,17900
Audi,Q3,GOLD,2015,125000,Quito,Negociable,28900
Renault,Sandero,GOLD,2011,174000,Quito,Negociable,8900
Chevrolet,D-MAX,GOLD,2008,180000,Quito,Negociable,13900
Audi,Q7,GOLD,2008,127455,Quito,Negociable,29900
Hyundai,Ioniq Hybrid,GOLD,2018,38000,Quito,Negociable,19400
Suzuki,S Cross,GOLD,2018,55049,Quito,Fijo,18900
Mercedes Benz,C200,GOLD,2019,1900,Quito,Negociable,86000
Chevrolet,D-MAX CRDI 3.0 CD 4X4,GOLD,2018,63390,Quito,Fijo,32900
Citroen,C-ELYSEE,GOLD,2017,48000,Cuenca,Negociable,14500
Chevrolet,Aveo Emotion Advance,STANDAR,2014,60000,Quito,Negociable,13800
Chevrolet,Aveo Emotion GLS,GOLD,2017,79000,Quito,Negociable,13900
Chevrolet,Captiva Sport,GOLD,2016,21000,Quito,Negociable,20800
Renault,Sandero,GOLD,2017,20300,Quito,Negociable,13300
Kia,Picanto,GOLD,2019,6500,Quito,Negociable,14900
Kia,Picanto R,STANDAR,2019,15000,Cuenca,Negociable,13300
BMW,M3,STANDAR,2012,59700,Guayaquil,Negociable,78000
Chevrolet,Spark GT,GOLD,2019,26000,Cuenca,Negociable,13200
Nissan,Tiida,GOLD,2015,70000,Quito,Negociable,12900
Great Wall,Voleex C30,GOLD,2016,103000,Quito,Negociable,10900
Nissan,Xtrail Advance,GOLD,2018,45000,Quito,Negociable,31900
Volkswagen,Gol,STANDAR,2009,189653,Quito,Negociable,9300
Chevrolet,Aveo Activo,STANDAR,2010,168253,Quito,Negociable,9500
Nissan,Murano,GOLD,2009,170000,Quito,Negociable,16500
Kia,Rio LX AC,STANDAR,2017,79000,Guayaquil,Negociable,14900
Ford,Expedition Eddie Bauer,GOLD,2007,296000,Quito,Negociable,20900
Kia,SPORTAGE R LX 2.0,GOLD,2015,61017,Quito,Negociable,20500
Kia,Soul,STANDAR,2012,123000,Ibarra,Negociable,12900
Kia,Sportage LX,STANDAR,2015,120000,Guayaquil,Negociable,17000
Nissan,Sentra Advance MT,STANDAR,2014,64983,Ibarra,Negociable,19000
Ford,Fairlane,STANDAR,1964,13400,Quito,Negociable,17000
Chery,Q22l,GOLD,2015,126000,Quito,Negociable,8900
Volkswagen,Voyage,STANDAR,2013,36000,Ibarra,Negociable,12500
Mercedes Benz,GLA 250,STANDAR,2017,54000,Quito,Negociable,52900
JAC,T6,STANDAR,2018,96000,Cañar,Negociable,21800
Toyota,Fortuner 4.0,STANDAR,2020,5800,Quito,Negociable,67900
Mercedes Benz,A 200,STANDAR,2020,2600,Quito,Negociable,52900
Chevrolet,Forsa 2,GOLD,1996,249000,Cuenca,Negociable,5200
Chevrolet,Sail,GOLD,2013,110000,Cuenca,Negociable,9900
Toyota,4 Runner SR5,GOLD,2011,151772,Quito,Negociable,44800
Toyota,Land Cruiser,GOLD,1975,75000,Quito,Negociable,17900
Saic Wuling,pick up,GOLD,2009,92000,Cuenca,Negociable,5900
Chevrolet,Tracker,GOLD,2018,35000,Cuenca,Fijo,19500
Mazda,BT-50 CD ACTION 2.6,GOLD,2013,105000,Cuenca,Fijo,16500
Mercedes Benz,C300,GOLD,2009,95000,Quito,Negociable,39800
Jeep,Grand Cherokee Limited,GOLD,2006,152508,Quito,Negociable,18800
Chevrolet,Corsa Evolution,GOLD,2006,213320,Quito,Negociable,6900
BMW,X5 3.0i,GOLD,2006,162578,Quito,Negociable,22800
Chevrolet,Spark GT,GOLD,2019,45303,Quito,Negociable,11200
Suzuki,Grand Vitara SZ,GOLD,2012,155000,Quito,Negociable,12900
Suzuki,Grand Vitara SZ 2.0 4x4,GOLD,2011,175828,Quito,Negociable,12900
Chevrolet,Corsa Evolution,GOLD,2006,188045,Quito,Negociable,7300
Hyundai,Accent,GOLD,2008,180250,Quito,Negociable,8500
Volkswagen,Polo,GOLD,2005,217767,Quito,Negociable,7300
Chevrolet,Optra Advance,GOLD,2012,84500,Quito,Negociable,11000
Nissan,Xtrail Xtreme,GOLD,2013,144995,Quito,Negociable,19500
Chevrolet,Grand Vitara 5P,GOLD,2014,111000,Quito,Negociable,14300
Hyundai,Veloster,GOLD,2013,79800,Quito,Negociable,18000
Mazda,CX-5,GOLD,2015,105404,Quito,Negociable,21300
Mazda,CX7,GOLD,2010,174000,Quito,Fijo,15900
Peugeot,307,GOLD,2006,189000,Quito,Negociable,8400
Renault,Logan,GOLD,2019,8000,Quito,Negociable,14900
Hyundai,Accent,GOLD,2014,120000,Cuenca,Negociable,15800
Suzuki,Grand Vitara SZ,GOLD,2008,216000,Quito,Negociable,12900
Nissan,Qashqai,GOLD,2012,139000,Quito,Negociable,15900
Hyundai,i10,GOLD,2009,320000,Quito,Negociable,6900
Audi,Q7,GOLD,2008,187000,Quito,Negociable,33900
Chevrolet,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,GOLD,2016,71000,Quito,Negociable,26900
Volkswagen,Escarabajo,GOLD,1974,80000,Quito,Negociable,13800
Hyundai,i10,GOLD,2019,38000,Quito,Negociable,12400
Ford,Focus,GOLD,2013,92000,Quito,Negociable,13900
Mercedes Benz,280,GOLD,1981,194000,Quito,Negociable,8400
Skoda,Fabia,GOLD,2015,143000,Quito,Negociable,10900
Volkswagen,Bora,GOLD,2006,156000,Quito,Negociable,10900
Volkswagen,Amarok,GOLD,2011,133000,Quito,Negociable,16900
Great Wall,H6,GOLD,2018,34000,Quito,Negociable,18900
Mazda,6,GOLD,2011,93000,Quito,Negociable,17300
Great Wall,M4,GOLD,2017,45000,Quito,Negociable,13300
Citroen,DS3,GOLD,2014,80000,Quito,Negociable,19500
Renault,Sandero Dynamic,TOP,2011,128000,Quito,Negociable,9050
Fiat,500,GOLD,2019,5000,Quito,Negociable,21900
Chevrolet,Captiva Sport V6 3.0,STANDAR,2010,102000,Quito,Negociable,14700
Mercedes Benz,C280 Sport,GOLD,2008,93009,Quito,Fijo,26990
Nissan,Qashqai,GOLD,2019,21000,Quito,Negociable,26900
Nissan,Armada,STANDAR,2006,99583,Quito,Negociable,28500
Suzuki,Grand Vitara SZ,GOLD,2016,50000,Quito,Fijo,15900
DFSK,C37,STANDAR,2019,45683,Quito,Negociable,12900
Chevrolet,Captiva Premier,GOLD,2020,7000,Quito,Negociable,27900
Chevrolet,Jimny,GOLD,2004,222000,Cuenca,Negociable,8800
Chevrolet,Aveo Family,GOLD,2013,118000,Cuenca,Negociable,7800
Toyota,Land Cruiser Prado TX,GOLD,2019,9000,Quito,Negociable,82000
Nissan,X Trail Sense,GOLD,2018,28000,Quito,Negociable,26900
Hyundai,Ioniq Hybrid,GOLD,2017,92018,Quito,Fijo,18500
Chevrolet,D-Max  High Country,GOLD,2017,87000,Quito,Negociable,32900
Great Wall,H3 2.0,GOLD,2019,17590,Quito,Fijo,18990
Ford,Escape,GOLD,2012,1150000,Quito,Negociable,16900
Chevrolet,Spark,GOLD,2011,177481,Quito,Fijo,5900
Chevrolet,Spark GT,GOLD,2019,19000,Quito,Negociable,12500
Volkswagen,Voyage,STANDAR,2014,109583,Quito,Negociable,12500
Mazda,BT-50 CD 4x2 Diesel,GOLD,2012,154000,Quito,Negociable,15500
Hyundai,GRAN I10,GOLD,2015,85085,Quito,Fijo,10900
BMW,318,GOLD,1997,393873,Quito,Fijo,9900
Nissan,March,GOLD,2012,69000,Quito,Negociable,9500
Mitsubishi,Lancer GT,GOLD,2008,118853,Quito,Fijo,13900
Chevrolet,Aveo Family,STANDAR,2019,9800,Cañar,Negociable,13800
Nissan,Versa,GOLD,2019,17690,Quito,Fijo,17900
Suzuki,Grand Vitara SZ 2.4,GOLD,2017,62381,Quito,Fijo,17900
Chevrolet,Aveo Family,GOLD,2018,116705,Quito,Fijo,9900
Porsche,Cayenne S,TOP,2006,90000,Quito,Negociable,39000
Hyundai,Ioniq Hybrid,GOLD,2018,34000,Quito,Fijo,17900
Chevrolet,LUV CS,GOLD,1998,99102,Quito,Negociable,9500
Renault,Duster 1.6,GOLD,2014,205000,Quito,Negociable,12900
Toyota,Yaris,GOLD,2018,27000,Quito,Negociable,16900
Mercedes Benz,190E,GOLD,1990,173000,Quito,Negociable,8500
Chevrolet,Sail,GOLD,2012,138000,Quito,Negociable,8900
Hyundai,Accent,GOLD,2009,190000,Quito,Negociable,9300
Chevrolet,Sail,GOLD,2013,110000,Quito,Negociable,9400
Chevrolet,Captiva Sport,GOLD,2017,76000,Quito,Negociable,18900
Chevrolet,Silverado,GOLD,2003,226000,Quito,Negociable,12900
Volkswagen,Jetta,GOLD,2008,210000,Quito,Negociable,8900
Renault,Logan,GOLD,2012,161000,Quito,Negociable,8400
Citroen,C-ELYSEE,GOLD,2020,30000,Quito,Negociable,15900
Renault,Sandero,GOLD,2011,108000,Quito,Fijo,9500
